Author,Title,Type_of_Ban,Secondary Author(s),State,District,Date of Challenge/Removal,Origin of Challenge,Latitude,Longitude
"Àbíké-Íyímídé, Faridah",Ace of Spades,Banned in Libraries and Classrooms,,Florida,Indian River County School District,2021-11-01,Administrator,27.994402,-81.760254
"Acevedo, Elizabeth",Clap When You Land,Banned in Classrooms,,Pennsylvania,Central York School District,2021-08-31,Administrator,41.203323,-77.194527
"Acevedo, Elizabeth",The Poet X,Banned in Libraries,,Florida,Indian River County School District,2021-11-01,Administrator,27.994402,-81.760254
"Acevedo, Elizabeth",The Poet X,Banned in Libraries and Classrooms,,New York,Marlboro Central School District,2022-02-01,Administrator,43.0,-75.0
"Acevedo, Elizabeth",The Poet X,Banned Pending Investigation,,Texas,Fredericksburg Independent School District,2022-03-01,Administrator,31.0,-100.0
"Acevedo, Elizabeth",The Poet X,Banned in Libraries,,Virginia,New Kent County Public Schools,2021-10-01,Administrator,37.926868,-78.024902
"Aciman, André",Call Me By Your Name (Call Me By Your Name Series),Banned Pending Investigation,,Virginia,Spotsylvania County Public Schools,2021-11-01,Administrator,37.926868,-78.024902
"Acito, Marc","How I Paid for College: A Novel of Sex, Theft, Friendship & Musical Theater (Edward Zanni Series)",Banned Pending Investigation,,Florida,Indian River County School District,2021-11-01,Administrator,27.994402,-81.760254
"Ada, Alma Flor",My Name Is María Isabel,Banned Pending Investigation,,Florida,Duval County Public Schools,2022-01-01,Administrator,27.994402,-81.760254
"Addasi, Maha",Time to Pray,Banned Pending Investigation,,Florida,Duval County Public Schools,2022-01-01,Administrator,27.994402,-81.760254
"Adeyemi, Tomi",Children of Blood and Bone (Legacy of Orïsha Series),Banned Pending Investigation,,Texas,Katy Independent School District,2022-01-01,Administrator,31.0,-100.0
"Adeyoha, Koja","47,000 Beads",Banned in Classrooms,"Adeyoha, Angel",Pennsylvania,Central York School District,2021-08-31,Administrator,41.203323,-77.194527
"Adichie, Chimamanda Ngozi",Half of a Yellow Sun,Banned in Classrooms,,Michigan,Hudsonville Public Schools,2022-01-01,Formal Challenge,44.182205,-84.506836
"Adler, Dahlia",Cool for the Summer,Banned Pending Investigation,,Tennessee,Collierville Schools,2022-02-01,Administrator,35.860119,-86.660156
"Agell, Charlotte",The Accidental Adventures of India McAllister,Banned in Libraries,,Texas,North East Independent School District,2021-12-01,Administrator,31.0,-100.0
"Ahmadi, Arvin",How It All Blew Up,Banned Pending Investigation,,Tennessee,Collierville Schools,2022-02-01,Administrator,35.860119,-86.660156
"Ahmadi, Arvin",How It All Blew Up,Banned Pending Investigation,,Texas,North East Independent School District,2021-12-01,Administrator,31.0,-100.0
"Ahmed, Roda",Mae Among the Stars,Banned in Classrooms,,Pennsylvania,Central York School District,2021-08-01,Administrator,41.203323,-77.194527
"Ahmed, Samira","Love, Hate & Other Filters",Banned in Libraries,,Mississippi,Madison County Schools,2022-04-01,Administrator,33.0,-90.0
