State,District,Origin of Challenge,Date of Challenge/Removal,Type of Ban,Author,Title,Secondary Author(s),Latitude,Longitude
Alaska,Anchorage School District,Administrator,2021-10-01,Banned in Libraries and Classrooms,"Kobabe, Maia",Gender Queer: A Memoir,,66.160507,-153.369141
Arkansas,Siloam Springs School District,Formal Challenge,2022-01-01,Banned in Libraries and Classrooms,"Kuklin, Susan",Beyond Magenta: Transgender Teens Speak Out,,34.799999,-92.199997
Florida,Brevard Public Schools,Administrator,2022-05-01,Banned Pending Investigation,"Maas, Sarah J.",A Court of Frost and Starlight (A Court of Thorns and Roses Series),,27.994402,-81.760254
Florida,Brevard Public Schools,Administrator,2022-03-01,Banned Pending Investigation,"Maas, Sarah J.",A Court of Mist and Fury (A Court of Thorns and Roses Series),,27.994402,-81.760254
Florida,Brevard Public Schools,Administrator,2022-05-01,Banned Pending Investigation,"Maas, Sarah J.",A ​Court of Silver Flames (A Court of Thorns and Roses Series),,27.994402,-81.760254
Florida,Brevard Public Schools,Administrator,2022-05-01,Banned Pending Investigation,"Maas, Sarah J.",A Court of Thorns and Roses (A Court of Thorns and Roses Series),,27.994402,-81.760254
Florida,Brevard Public Schools,Administrator,2022-05-01,Banned Pending Investigation,"Maas, Sarah J.",A Court of Wings and Ruin (A Court of Thorns and Roses Series),,27.994402,-81.760254
Florida,Brevard Public Schools,Administrator,2022-05-01,Banned Pending Investigation,"Johnson, George M.",All Boys Aren't Blue,,27.994402,-81.760254
Florida,Brevard Public Schools,Administrator,2022-05-01,Banned Pending Investigation,"Reed, Amy",Beautiful,,27.994402,-81.760254
Florida,Brevard Public Schools,Administrator,2022-05-01,Banned Pending Investigation,"Niven, Jennifer",Breathless,,27.994402,-81.760254
Florida,Brevard Public Schools,Administrator,2022-03-01,Banned Pending Investigation,"Hopkins, Ellen",Crank (Crank Series),,27.994402,-81.760254
Florida,Brevard Public Schools,Administrator,2022-03-01,Banned Pending Investigation,"Arnold, Elana K.",Damsel,,27.994402,-81.760254
Florida,Brevard Public Schools,Administrator,2022-05-01,Banned Pending Investigation,"Maas, Sarah J.",Empire of Storms (Throne of Glass Series),,27.994402,-81.760254
Florida,Brevard Public Schools,Administrator,2022-03-01,Banned Pending Investigation,"Blume, Judy",Forever...,,27.994402,-81.760254
Florida,Brevard Public Schools,Administrator,2021-11-01,Banned in Libraries and Classrooms,"Kobabe, Maia",Gender Queer: A Memoir,,27.994402,-81.760254
Florida,Brevard Public Schools,Administrator,2022-05-01,Banned Pending Investigation,"Maas, Sarah J.",House of Earth and Blood (Crescent City Series),,27.994402,-81.760254
Florida,Brevard Public Schools,Administrator,2022-05-01,Banned Pending Investigation,"Maas, Sarah J.",House of Sky and Breath (Crescent City Series),,27.994402,-81.760254
Florida,Brevard Public Schools,Administrator,2022-03-01,Banned Pending Investigation,"Arnold, Elana K.",Infandous,,27.994402,-81.760254
Florida,Brevard Public Schools,Administrator,2022-05-01,Banned Pending Investigation,"Scheeres, Julia",Jesus Land: A Memoir,,27.994402,-81.760254
Florida,Brevard Public Schools,Administrator,2022-05-01,Banned Pending Investigation,"Lo, Malinda",Last Night at the Telegraph Club,,27.994402,-81.760254
Florida,Brevard Public Schools,Administrator,2022-05-01,Banned Pending Investigation,"Scott, Elizabeth",Living Dead Girl,,27.994402,-81.760254
Florida,Brevard Public Schools,Administrator,2022-03-01,Banned Pending Investigation,"Sebold, Alice",Lucky,,27.994402,-81.760254
Florida,Brevard Public Schools,Administrator,2022-05-01,Banned Pending Investigation,"Kaur, Rupi",Milk and Honey,,27.994402,-81.760254
Florida,Brevard Public Schools,Administrator,2022-03-01,Banned Pending Investigation,"Jackson, Tiffany D.",Monday's Not Coming,,27.994402,-81.760254
Florida,Brevard Public Schools,Administrator,2022-05-01,Banned Pending Investigation,"Rooney, Sally",Normal People,,27.994402,-81.760254
Florida,Brevard Public Schools,Administrator,2022-03-01,Banned Pending Investigation,"Smyth, Ciara",Not My Problem,,27.994402,-81.760254
Florida,Brevard Public Schools,Administrator,2022-05-01,Banned Pending Investigation,"Pérez, Ashley Hope",Out of Darkness,,27.994402,-81.760254
Florida,Brevard Public Schools,Administrator,2022-05-01,Banned Pending Investigation,"Hopkins, Ellen",People Kill People,,27.994402,-81.760254
Florida,Brevard Public Schools,Administrator,2022-03-01,Banned Pending Investigation,Sapphire,Push,,27.994402,-81.760254
Florida,Brevard Public Schools,Administrator,2022-03-01,Banned Pending Investigation,"Arnold, Elana K.",Red Hood,,27.994402,-81.760254
Florida,Brevard Public Schools,Administrator,2022-05-01,Banned Pending Investigation,"Vonnegut Jr., Kurt",Slaughterhouse-Five,,27.994402,-81.760254
